City,Total Tickets Resolved,,Total Average QC Score,
,Monthly,Weekly,Monthly,Weekly
Sharjah,127,-,96.6,-
Amman,55,-,97.3,-
Abu Dhabi,34,-,98.1,-
Dubai,224,-,97.9,-
Al Ain,16,-,97.4,-
Total,456,-,97.4,-
