City,Total Tickets Resolved,,Total Average QC Score,
,Monthly,Weekly,Monthly,Weekly
Sharjah,306,-,95.5,-
Amman,148,-,96.4,-
Abu Dhabi,232,-,93.4,-
Dubai,1771,-,96.1,-
Al Ain,63,-,96.7,-
Total,2520,-,95.6,-
